ponovitev;najmanjsaRazdalja_B;najblizjiPar_B;tocke_B;casIzvajanja_B;najmanjsaRazdalja_P;najblizjiPar_P;tocke_;casIzvajanja_P
1;0.026827715490481335;{8, 1};{1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 19, 20, 21, 23, 27, 28, 29, 34, 35, 36, 38, 40, 41, 42, 45, 49};0:00:06.021900;0.026827715490481335;{8, 1};{1, 2, 3, 7, 8, 10, 12, 13, 14, 15, 16, 17, 19, 21, 24, 27, 28, 29, 30, 31, 32, 35, 36, 37, 40, 42, 44, 47, 48, 49};0:00:00.006981
2;0.02591575822297493;{25, 47};{0, 1, 6, 7, 10, 11, 13, 14, 16, 17, 19, 20, 21, 25, 26, 29, 30, 31, 32, 33, 35, 36, 40, 41, 42, 43, 46, 47, 48, 49};0:00:04.857016;0.02591575822297493;{25, 47};{1, 3, 4, 6, 8, 9, 10, 11, 14, 15, 17, 19, 20, 22, 23, 24, 25, 27, 32, 33, 34, 36, 37, 39, 42, 43, 44, 45, 46, 47};0:00:00.002991
3;0.024562184484888398;{32, 27};{0, 1, 2, 4, 5, 6, 9, 13, 14, 15, 16, 17, 20, 21, 22, 23, 25, 27, 28, 29, 32, 35, 37, 39, 42, 44, 45, 46, 47, 48};0:00:03.318130;0.02532528790605638;{20, 14};{1, 2, 4, 5, 6, 9, 10, 11, 12, 14, 17, 18, 19, 20, 22, 23, 24, 25, 26, 28, 31, 36, 37, 39, 41, 43, 44, 46, 47, 49};0:00:00.004987
4;0.015307516695940002;{42, 23};{1, 2, 3, 7, 8, 9, 10, 11, 14, 15, 16, 17, 18, 19, 21, 22, 23, 24, 25, 27, 29, 31, 32, 34, 41, 42, 43, 45, 46, 48};0:00:03.206426;0.015307516695940002;{42, 23};{0, 1, 3, 6, 8, 10, 12, 15, 17, 18, 19, 20, 23, 24, 25, 26, 28, 30, 31, 32, 35, 37, 39, 40, 41, 42, 43, 44, 47, 49};0:00:00.003989
5;0.015628221516266395;{40, 7};{1, 6, 7, 11, 12, 15, 16, 17, 18, 19, 20, 21, 23, 25, 26, 31, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 46, 47, 49};0:00:03.547516;0.021506495141934777;{17, 11};{0, 1, 3, 4, 5, 6, 8, 9, 10, 11, 15, 17, 18, 19, 20, 23, 24, 25, 27, 28, 31, 32, 34, 35, 36, 37, 41, 42, 48, 49};0:00:00.002991
6;0.0421492857644548;{48, 2};{0, 2, 3, 4, 7, 8, 9, 12, 13, 15, 16, 17, 18, 20, 22, 23, 28, 29, 30, 32, 35, 36, 37, 38, 41, 44, 45, 47, 48, 49};0:00:04.669517;0.019753066787908617;{0, 31};{0, 2, 3, 4, 5, 6, 7, 11, 12, 17, 18, 20, 21, 22, 23, 25, 26, 27, 30, 31, 32, 33, 34, 39, 41, 42, 44, 46, 47, 48};0:00:00.003989
7;0.013211550864797856;{2, 38};{0, 2, 3, 4, 6, 7, 8, 10, 11, 12, 15, 16, 18, 19, 20, 22, 25, 26, 30, 31, 33, 36, 38, 40, 41, 43, 44, 45, 47, 48};0:00:03.728033;0.020205545578138782;{16, 4};{3, 4, 5, 6, 7, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 25, 27, 28, 30, 31, 33, 34, 35, 40, 41, 43, 45, 46, 48, 49};0:00:00.007978
8;0.03221211533983982;{48, 11};{3, 5, 11, 12, 13, 15, 17, 19, 21, 22, 23, 24, 25, 26, 31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 42, 43, 44, 45, 46, 48};0:00:05.716719;0.022714171755663447;{48, 18};{1, 3, 4, 5, 6, 7, 9, 10, 11, 13, 14, 16, 17, 18, 22, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 44, 46, 47, 48};0:00:00.008974
9;0.03765674087495099;{28, 39};{0, 1, 2, 3, 4, 5, 6, 7, 10, 13, 14, 15, 17, 19, 20, 21, 23, 25, 26, 28, 30, 32, 34, 35, 36, 39, 40, 45, 46, 49};0:00:03.161549;0.03085341453615702;{9, 39};{2, 3, 7, 8, 9, 12, 13, 14, 15, 16, 18, 19, 21, 23, 25, 26, 27, 28, 30, 31, 33, 35, 37, 38, 39, 40, 41, 42, 43, 45};0:00:00.003989
10;0.022097682456395214;{3, 28};{0, 1, 2, 3, 7, 8, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 22, 25, 26, 27, 28, 30, 31, 34, 37, 40, 42, 44, 48, 49};0:00:02.238015;0.0354950636595867;{0, 22};{0, 2, 4, 6, 7, 8, 10, 12, 13, 14, 15, 16, 18, 21, 22, 23, 29, 30, 31, 32, 33, 35, 36, 39, 41, 42, 43, 45, 47, 49};0:00:00.002992
